window,gene,category,count
20kb,cenpj,sig. positive,1
20kb,cenpk,sig. positive,6
20kb,cenpl,sig. positive,1
20kb,cenpn,sig. positive,1
20kb,cenpo,sig. negative,2
20kb,cenpp,sig. positive,2
20kb,cenps,sig. positive,4
20kb,cenpt,sig. positive,7
20kb,cenpv,sig. positive,2
20kb,cenpw,sig. positive,2
20kb,cep112,sig. positive,4
20kb,cep120,sig. positive,1
20kb,cep126,sig. positive,2
20kb,cep128,sig. positive,6
20kb,cep131,sig. negative,1
20kb,cep131,sig. positive,9
20kb,cep135,sig. positive,1
20kb,cep152,sig. positive,6
20kb,cep162,sig. positive,1
20kb,cep170aa,sig. positive,9
20kb,cep170ab,sig. positive,2
20kb,cep19,sig. positive,4
20kb,cep192,sig. positive,5
20kb,cep350,sig. positive,2
20kb,cep41,sig. positive,3
20kb,cep44,sig. positive,1
20kb,cep55l,sig. negative,1
20kb,cep55l,sig. positive,2
20kb,cep57,sig. negative,2
20kb,cep57,sig. positive,1
20kb,cep57l1,sig. negative,1
20kb,cep57l1,sig. positive,1
20kb,cep63,sig. positive,6
20kb,cep68,sig. positive,2
20kb,cep70,sig. positive,1
20kb,cep72,sig. positive,4
20kb,cep76,sig. positive,4
20kb,cep78,sig. positive,3
20kb,cep83,sig. positive,11
20kb,cep85,sig. positive,3
20kb,cep85l,sig. positive,14
20kb,cep89,sig. positive,1
20kb,cep97,sig. positive,3
20kb,cept1a,sig. positive,4
20kb,cercam,sig. positive,15
20kb,cerk,sig. positive,1
20kb,cerkl,sig. positive,11
20kb,cers1,sig. positive,11
20kb,cers2a,sig. positive,1
20kb,cers2b,sig. positive,11
20kb,cers3a,sig. positive,5
20kb,cers3b,sig. positive,9
20kb,cers4a,sig. positive,7
20kb,cers4b,sig. positive,4
20kb,cers5,sig. positive,3
20kb,cers6,sig. positive,5
20kb,cert1a,sig. positive,20
20kb,cert1b,sig. positive,4
20kb,ces2a,sig. negative,1
20kb,ces2b,sig. positive,1
20kb,cetn2,sig. positive,1
20kb,cetn3,sig. negative,1
20kb,cetn3,sig. positive,1
20kb,cfap100,sig. positive,4
20kb,cfap126,sig. negative,1
20kb,cfap157,sig. positive,3
20kb,cfap161,sig. negative,1
20kb,cfap161,sig. positive,3
20kb,cfap20,sig. positive,3
20kb,cfap206,sig. positive,3
20kb,cfap298,sig. positive,1
20kb,cfap299,sig. positive,5
20kb,cfap300,sig. positive,2
20kb,cfap36,sig. negative,2
20kb,cfap36,sig. positive,4
20kb,cfap43,sig. positive,1
20kb,cfap45,sig. positive,6
20kb,cfap52,sig. positive,7
20kb,cfap53,sig. positive,4
20kb,cfap57,sig. positive,6
20kb,cfap58,sig. positive,2
20kb,cfap70,sig. negative,1
20kb,cfap73,sig. positive,4
20kb,cfap97,sig. positive,1
20kb,cfap99,sig. positive,1
20kb,cfb,sig. positive,1
20kb,cfd,sig. positive,3
20kb,cfdp1,sig. positive,1
20kb,cfh,sig. negative,1
20kb,cfl1,sig. positive,1
20kb,cfl1l,sig. positive,9
20kb,cfl2,sig. positive,4
20kb,cflara,sig. positive,9
20kb,cfp,sig. positive,1
20kb,cftr,sig. positive,12
20kb,cga,sig. positive,1
20kb,cgnb,sig. positive,7
20kb,cgnl1,sig. positive,8
20kb,cgref1,sig. positive,3
20kb,cgrrf1,sig. positive,2
20kb,ch25hl1.1,sig. positive,1
20kb,chac1,sig. positive,3
20kb,chac2,sig. positive,1
20kb,chad,sig. positive,1
20kb,chadlb,sig. positive,7
20kb,chaf1a,sig. positive,9
20kb,chaf1b,sig. positive,6
20kb,chata,sig. positive,7
20kb,chchd1,sig. positive,4
20kb,chchd10,sig. negative,12
20kb,chchd10,sig. positive,1
20kb,chchd2,sig. positive,3
20kb,chchd3a,sig. positive,3
20kb,chchd3b,sig. positive,6
20kb,chchd4a,sig. positive,2
20kb,chchd4b,sig. positive,4
20kb,chchd6a,sig. positive,3
20kb,chchd6b,sig. negative,4
20kb,chchd6b,sig. positive,2
20kb,chd1,sig. positive,4
20kb,chd1l,sig. positive,5
20kb,chd2,sig. negative,1
20kb,chd3,sig. positive,1
20kb,chd4a,sig. negative,1
20kb,chd4a,sig. positive,5
20kb,chd4b,sig. positive,4
20kb,chd6,sig. positive,4
20kb,chd7,sig. positive,6
20kb,chd8,sig. positive,2
20kb,chd9,sig. positive,18
20kb,chdh,sig. positive,2
20kb,chek1,sig. negative,2
20kb,chek1,sig. positive,5
20kb,chek2,sig. negative,1
20kb,chek2,sig. positive,3
20kb,cherp,sig. positive,2
20kb,ches1,sig. positive,7
20kb,chfr,sig. positive,4
20kb,chga,sig. positive,8
20kb,chgb,sig. positive,8
20kb,chia.1,sig. positive,5
20kb,chia.2,sig. positive,1
20kb,chia.3,sig. positive,7
20kb,chic2,sig. positive,1
20kb,chico,sig. positive,3
20kb,chid1,sig. negative,1
20kb,chka,sig. positive,4
20kb,chkb,sig. positive,3
20kb,chl1a,sig. positive,16
20kb,chl1b,sig. positive,20
20kb,chm,sig. positive,9
20kb,chmp1a,sig. positive,1
20kb,chmp1b,sig. positive,3
20kb,chmp2a,sig. positive,1
20kb,chmp2ba,sig. positive,1
20kb,chmp2bb,sig. positive,1
20kb,chmp3,sig. positive,1
20kb,chmp4ba,sig. positive,1
20kb,chmp4bb,sig. positive,1
20kb,chmp4c,sig. positive,2
20kb,chmp5a,sig. positive,3
20kb,chmp6b,sig. positive,6
20kb,chmp7,sig. negative,1
20kb,chmp7,sig. positive,1
20kb,chn1,sig. positive,6
20kb,chn2,sig. positive,5
20kb,chodl,sig. positive,4
20kb,chordc1a,sig. positive,1
20kb,chordc1b,sig. positive,2
20kb,chp2,sig. positive,1
20kb,chpf2,sig. positive,1
20kb,chpfa,sig. positive,19
20kb,chpfb,sig. positive,10
20kb,chpt1,sig. positive,6
20kb,chrac1,sig. positive,3
20kb,chrd,sig. positive,16
20kb,chrdl2,sig. positive,4
20kb,chrm2a,sig. positive,6
20kb,chrm3a,sig. positive,12
20kb,chrm4a,sig. positive,9
20kb,chrm4b,sig. positive,9
20kb,chrm5a,sig. positive,2
20kb,chrna1,sig. negative,4
20kb,chrna1,sig. positive,3
20kb,chrna10a,sig. negative,1
20kb,chrna2b,sig. negative,1
20kb,chrna4b,sig. positive,7
20kb,chrna5,sig. positive,12
20kb,chrnb1,sig. positive,8
20kb,chrnb1l,sig. positive,4
20kb,chrnb2,sig. positive,13
20kb,chrnb3a,sig. positive,2
20kb,chrnb4,sig. positive,1
20kb,chrnb5a,sig. positive,1
20kb,chrnd,sig. positive,3
20kb,chrne,sig. negative,1
20kb,chrne,sig. positive,5
20kb,chrng,sig. positive,9
20kb,chst1,sig. positive,4
20kb,chst11,sig. negative,1
20kb,chst11,sig. positive,10
20kb,chst12a,sig. positive,3
20kb,chst12b.1,sig. negative,1
20kb,chst14,sig. positive,7
20kb,chst15,sig. positive,4
20kb,chst2a,sig. positive,3
20kb,chst2b,sig. positive,2
20kb,chst3a,sig. positive,8
20kb,chst3b,sig. positive,5
20kb,chst6,sig. positive,8
20kb,chst7,sig. positive,6
20kb,chsy1,sig. positive,4
20kb,chsy3,sig. positive,16
20kb,chtf18,sig. negative,1
20kb,chtf18,sig. positive,2
20kb,chtf8,sig. negative,1
20kb,chtf8,sig. positive,1
20kb,chtopa,sig. positive,5
20kb,chtopb,sig. positive,3
20kb,chuk,sig. negative,1
20kb,churc1,sig. positive,1
20kb,ciao1,sig. positive,5
20kb,ciao2a,sig. positive,2
20kb,ciao2b,sig. positive,2
20kb,cib1,sig. positive,2
20kb,cib2,sig. positive,7
20kb,cib3,sig. positive,1
20kb,cica,sig. negative,1
20kb,cica,sig. positive,4
20kb,cicb,sig. positive,3
20kb,cidea,sig. negative,1
20kb,cideb,sig. positive,2
20kb,cidec,sig. positive,1
20kb,ciita,sig. positive,4
20kb,cilp,sig. positive,11
20kb,cinp,sig. positive,1
20kb,cip2a,sig. positive,6
20kb,cipca,sig. positive,2
20kb,cipcb,sig. positive,1
20kb,cirbpa,sig. positive,7
20kb,cirbpb,sig. negative,1
20kb,cirbpb,sig. positive,1
20kb,cisd1,sig. positive,2
20kb,cita,sig. positive,7
20kb,cited1,sig. negative,1
20kb,cited1,sig. positive,4
20kb,cited2,sig. positive,12
20kb,cited4a,sig. positive,7
20kb,cited4b,sig. positive,5
20kb,ciz1a,sig. positive,1
20kb,ciz1b,sig. positive,1
20kb,ckap2l,sig. positive,8
20kb,ckap4,sig. positive,7
20kb,ckap5,sig. positive,5
20kb,ckba,sig. positive,3
20kb,ckbb,sig. positive,3
20kb,ckma,sig. negative,2
20kb,ckmb,sig. negative,2
20kb,ckmb,sig. positive,1
20kb,ckmt1,sig. negative,2
20kb,ckmt1,sig. positive,3
20kb,cks1b,sig. positive,1
20kb,cks2,sig. negative,3
20kb,clasp1a,sig. negative,1
20kb,clasp1a,sig. positive,3
20kb,clasp2,sig. positive,2
20kb,clasrp,sig. positive,2
20kb,clcf1,sig. positive,12
20kb,clcn1b,sig. positive,1
20kb,clcn2a,sig. positive,1
20kb,clcn2c,sig. positive,2
20kb,clcn3,sig. positive,3
20kb,clcn5a,sig. positive,2
20kb,clcn5b,sig. positive,2
20kb,clcn6,sig. positive,6
20kb,clcn7,sig. positive,4
20kb,cldn1,sig. positive,11
20kb,cldn10l2,sig. positive,5
20kb,cldn11b,sig. positive,10
20kb,cldn12,sig. positive,7
20kb,cldn15a,sig. positive,8
20kb,cldn15b,sig. positive,12
20kb,cldn15lb,sig. negative,1
20kb,cldn15lb,sig. positive,2
20kb,cldn19,sig. positive,6
20kb,cldn2,sig. positive,1
20kb,cldn5a,sig. positive,12
20kb,cldn5b,sig. positive,9
20kb,cldn7b,sig. positive,7
20kb,cldna,sig. positive,19
20kb,cldnb,sig. positive,14
20kb,cldnd,sig. positive,14
20kb,cldnd1a,sig. negative,1
20kb,cldnd1b,sig. positive,3
20kb,cldne,sig. positive,1
20kb,cldnf,sig. positive,1
20kb,cldng,sig. negative,1
20kb,cldng,sig. positive,14
20kb,cldni,sig. positive,9
20kb,cldnk,sig. positive,6
20kb,clec11a,sig. positive,1
20kb,clec14a,sig. positive,6
20kb,clec16a,sig. positive,8
20kb,clec19a,sig. positive,4
20kb,clec3ba,sig. positive,2
20kb,clgn,sig. positive,6
20kb,clic1,sig. negative,5
20kb,clic2,sig. positive,7
20kb,clic4,sig. positive,10
20kb,clic5a,sig. positive,1
20kb,clic5b,sig. positive,1
20kb,clint1a,sig. positive,4
20kb,clint1b,sig. positive,3
20kb,clip2,sig. positive,3
20kb,clip3,sig. positive,1
20kb,clk2b,sig. negative,1
20kb,clk2b,sig. positive,2
20kb,clk4a,sig. negative,1
20kb,cln3,sig. negative,1
20kb,cln3,sig. positive,1
20kb,cln6a,sig. negative,1
20kb,cln6b,sig. positive,3
20kb,cln8,sig. positive,8
20kb,clns1a,sig. negative,1
20kb,clocka,sig. positive,4
20kb,clockb,sig. positive,3
20kb,clp1,sig. negative,1
20kb,clp1,sig. positive,1
20kb,clpb,sig. negative,1
20kb,clpp,sig. positive,1
20kb,clptm1,sig. positive,4
20kb,clptm1l,sig. positive,1
20kb,clpxa,sig. positive,1
20kb,clpxb,sig. positive,2
20kb,clrn1,sig. positive,2
20kb,clrn3,sig. positive,1
20kb,clstn1,sig. positive,12
20kb,clstn3,sig. positive,1
20kb,cltb,sig. positive,5
20kb,cltca,sig. positive,9
20kb,cltcl1,sig. positive,2
20kb,clu,sig. positive,2
20kb,cluap1,sig. positive,3
20kb,cluha,sig. positive,10
20kb,clul1,sig. positive,5
20kb,clvs2,sig. positive,15
20kb,clybl,sig. positive,9
20kb,cmah,sig. negative,1
20kb,cmbl,sig. negative,1
20kb,cmc1,sig. positive,1
20kb,cmc2,sig. positive,3
20kb,cmip,sig. positive,6
20kb,cmlc1,sig. positive,2
20kb,cmn,sig. positive,9
20kb,cmpk,sig. positive,1
20kb,cmpk2,sig. positive,2
20kb,cmtm3,sig. positive,5
20kb,cmtm4,sig. positive,16
20kb,cmtm6,sig. positive,16
20kb,cmtm7,sig. positive,8
20kb,cmtm8a,sig. positive,1
20kb,cmtm8b,sig. positive,5
20kb,cmtr1,sig. negative,3
20kb,cmtr1,sig. positive,1
20kb,cmtr2,sig. negative,1
20kb,cmya5,sig. positive,1
20kb,cnbd1,sig. negative,1
20kb,cnbd1,sig. positive,4
20kb,cnbpa,sig. positive,4
20kb,cnbpb,sig. negative,1
20kb,cnbpb,sig. positive,1
20kb,cnep1r1,sig. positive,2
20kb,cnfn,sig. positive,2
20kb,cnga1a,sig. positive,2
20kb,cnga4,sig. positive,5
20kb,cngb1a,sig. positive,1
20kb,cnih1,sig. positive,2
20kb,cnih2,sig. positive,6
20kb,cnih3,sig. positive,3
20kb,cnksr1,sig. positive,14
20kb,cnksr2a,sig. positive,5
20kb,cnksr2b,sig. positive,12
20kb,cnksr3,sig. positive,14
20kb,cnmd,sig. positive,9
20kb,cnn1a,sig. positive,1
20kb,cnn2,sig. negative,1
20kb,cnn2,sig. positive,5
20kb,cnn3a,sig. positive,21
20kb,cnn3b,sig. positive,8
20kb,cnnm2a,sig. positive,7
20kb,cnnm2b,sig. positive,2
20kb,cnot1,sig. negative,1
20kb,cnot10,sig. positive,3
20kb,cnot2,sig. negative,1
20kb,cnot2,sig. positive,1
20kb,cnot4a,sig. positive,2
20kb,cnot4b,sig. positive,2
20kb,cnot6a,sig. negative,1
20kb,cnot6a,sig. positive,1
20kb,cnot6b,sig. positive,2
20kb,cnot6l,sig. positive,4
20kb,cnot8,sig. positive,3
20kb,cnot9,sig. positive,1
20kb,cnp,sig. positive,4
20kb,cnpy1,sig. positive,7
20kb,cnpy2,sig. positive,1
20kb,cnpy3,sig. positive,2
20kb,cnpy4,sig. positive,1
20kb,cnrip1a,sig. positive,2
20kb,cnrip1b,sig. negative,2
20kb,cnsta,sig. positive,2
20kb,cntf,sig. negative,1
20kb,cntf,sig. positive,5
20kb,cntfr,sig. positive,18
20kb,cntln,sig. positive,5
20kb,cntn1a,sig. positive,6
20kb,cntn1b,sig. positive,4
20kb,cntn2,sig. positive,16
20kb,cntn3a.1,sig. positive,3
20kb,cntn3a.2,sig. positive,3
20kb,cntn3b,sig. positive,7
20kb,cntn4,sig. positive,10
20kb,cntn5,sig. positive,6
20kb,cntnap2a,sig. positive,9
20kb,cntnap2b,sig. positive,15
20kb,cntnap5a,sig. positive,10
20kb,cntnap5l,sig. positive,2
20kb,cntrl,sig. negative,1
20kb,cntrl,sig. positive,4
20kb,cntrob,sig. negative,1
20kb,cntrob,sig. positive,1
20kb,coa3a,sig. positive,2
20kb,coa3b,sig. negative,1
20kb,coa3b,sig. positive,1
20kb,coa5,sig. positive,2
20kb,coa6,sig. positive,3
20kb,coa7,sig. positive,3
20kb,coa8,sig. positive,3
20kb,cobl,sig. positive,10
20kb,cobll1a,sig. positive,6
20kb,cobll1b,sig. positive,6
20kb,coch,sig. positive,2
20kb,cog1,sig. positive,7
20kb,cog2,sig. positive,4
20kb,cog3,sig. positive,3
20kb,cog5,sig. positive,2
20kb,cog6,sig. positive,4
20kb,cog7,sig. positive,3
20kb,coil,sig. positive,4
20kb,col10a1b,sig. negative,1
20kb,col11a1a,sig. positive,18
20kb,col11a1b,sig. positive,17
20kb,col12a1a,sig. positive,10
20kb,col12a1b,sig. positive,12
20kb,col14a1a,sig. positive,17
20kb,col15a1b,sig. positive,17
20kb,col16a1,sig. positive,16
20kb,col17a1a,sig. negative,1
20kb,col18a1a,sig. positive,14
20kb,col19a1,sig. positive,16
20kb,col1a1a,sig. positive,3
20kb,col1a1b,sig. positive,11
20kb,col1a2,sig. positive,5
20kb,col27a1b,sig. positive,13
20kb,col28a1b,sig. positive,1
20kb,col28a2a,sig. positive,21
20kb,col2a1a,sig. positive,13
20kb,col2a1b,sig. positive,16
20kb,col4a1,sig. positive,20
20kb,col4a2,sig. positive,21
20kb,col4a3,sig. positive,9
20kb,col4a4,sig. positive,10
20kb,col4a5,sig. positive,21
20kb,col4a6,sig. positive,21
20kb,col5a1,sig. positive,17
20kb,col5a2a,sig. positive,14
20kb,col5a2b,sig. negative,4
20kb,col5a3a,sig. positive,11
20kb,col5a3b,sig. positive,4
20kb,col6a1,sig. positive,13
20kb,col6a2,sig. positive,2
20kb,col6a3,sig. positive,7
20kb,col6a4a,sig. positive,4
20kb,col7a1,sig. positive,11
20kb,col7a1l,sig. positive,22
20kb,col8a1a,sig. positive,18
20kb,col8a2,sig. positive,16
20kb,col9a1a,sig. positive,7
20kb,col9a1b,sig. positive,19
20kb,col9a2,sig. positive,11
20kb,col9a3,sig. positive,14
20kb,colec12,sig. positive,14
20kb,colq,sig. positive,7
20kb,commd1,sig. positive,5
20kb,commd3,sig. positive,9
20kb,commd5,sig. negative,1
20kb,commd6,sig. negative,1
20kb,commd7,sig. negative,2
20kb,commd8,sig. positive,1
20kb,comp,sig. positive,10
20kb,comtb,sig. positive,4
20kb,comtd1,sig. positive,1
20kb,cop1,sig. positive,1
20kb,copa,sig. positive,11
20kb,copb1,sig. positive,8
20kb,copb2,sig. positive,11
20kb,copg2,sig. positive,5
20kb,cops2,sig. positive,1
20kb,cops3,sig. positive,1
20kb,cops5,sig. positive,4
20kb,cops7a,sig. negative,3
20kb,cops8,sig. positive,3
20kb,copz1,sig. positive,5
20kb,copz2,sig. negative,2
20kb,copz2,sig. positive,3
20kb,coq10b,sig. positive,5
20kb,coq2,sig. negative,1
20kb,coq2,sig. positive,1
20kb,coq4,sig. negative,1
20kb,coq5,sig. positive,9
20kb,coq6,sig. positive,1
20kb,coq8aa,sig. positive,3
20kb,coq8ab,sig. positive,6
20kb,corin,sig. positive,11
20kb,coro1b,sig. negative,3
20kb,coro1b,sig. positive,1
20kb,coro1ca,sig. positive,11
20kb,coro1cb,sig. negative,2
20kb,coro1cb,sig. positive,6
20kb,coro2ba,sig. positive,13
20kb,coro6,sig. positive,3
20kb,cotl1,sig. positive,3
20kb,cox10,sig. positive,7
20kb,cox11,sig. positive,4
20kb,cox15,sig. positive,2
20kb,cox16,sig. positive,1
20kb,cox17,sig. negative,2
20kb,cox18,sig. negative,2
20kb,cox18,sig. positive,1
20kb,cox19,sig. positive,1
20kb,cox20,sig. positive,1
20kb,cox4i1,sig. positive,3
20kb,cox4i1l,sig. positive,4
20kb,cox4i2,sig. negative,1
20kb,cox5aa,sig. positive,2
20kb,cox5ab,sig. negative,1
20kb,cox6a1,sig. positive,1
20kb,cox6a2,sig. positive,1
20kb,cox6b1,sig. negative,3
20kb,cox6b1,sig. positive,1
20kb,cox6b2,sig. negative,2
20kb,cox6c,sig. negative,2
20kb,cox7a1,sig. negative,1
20kb,cox7a2a,sig. positive,1
20kb,cox7c,sig. positive,1
20kb,cox8b,sig. positive,1
20kb,cp,sig. positive,2
20kb,cpa2,sig. positive,1
20kb,cpa4,sig. positive,3
20kb,cpa6,sig. positive,19
20kb,cpamd8,sig. positive,8
20kb,cpb1,sig. positive,2
20kb,cpda,sig. positive,10
20kb,cpdb,sig. negative,2
20kb,cpdp,sig. positive,5
20kb,cpe,sig. positive,9
20kb,cpeb1a,sig. negative,5
20kb,cpeb1b,sig. positive,6
20kb,cpeb2,sig. positive,17
20kb,cpeb3,sig. positive,7
20kb,cpeb4a,sig. positive,10
20kb,cpeb4b,sig. positive,13
20kb,cped1,sig. positive,13
20kb,cplane2,sig. negative,1
20kb,cplx3b,sig. positive,2
20kb,cplx4a,sig. positive,6
20kb,cplx4c,sig. positive,6
20kb,cpm,sig. positive,13
20kb,cpne2,sig. positive,2
20kb,cpne3,sig. positive,3
20kb,cpne4a,sig. positive,8
20kb,cpne5a,sig. positive,4
20kb,cpne5b,sig. positive,2
20kb,cpne7,sig. positive,1
20kb,cpne8,sig. negative,2
20kb,cpne8,sig. positive,2
20kb,cpne9,sig. positive,1
20kb,cpo,sig. positive,1
20kb,cpox,sig. positive,14
20kb,cpped1,sig. positive,5
20kb,cps1,sig. negative,1
20kb,cpsf1,sig. positive,3
20kb,cpsf2,sig. positive,1
20kb,cpsf3,sig. negative,1
20kb,cpsf4,sig. negative,1
20kb,cpsf4,sig. positive,1
20kb,cpsf6,sig. positive,1
20kb,cpt1aa,sig. positive,2
20kb,cpt1ab,sig. positive,2
20kb,cpt1b,sig. positive,2
20kb,cpt2,sig. negative,2
20kb,cpxm1a,sig. positive,1
20kb,cpxm1b,sig. negative,2
20kb,cpxm1b,sig. positive,1
20kb,cpz,sig. positive,14
20kb,crabp1b,sig. positive,2
20kb,crabp2a,sig. positive,20
20kb,crabp2b,sig. positive,4
20kb,cracr2ab,sig. positive,6
20kb,cracr2b,sig. positive,10
20kb,cradd,sig. negative,1
20kb,crata,sig. positive,1
20kb,cratb,sig. positive,4
20kb,crb1,sig. positive,6
20kb,crb2a,sig. positive,16
20kb,crb2b,sig. positive,6
20kb,crb3a,sig. positive,11
20kb,crb3b,sig. positive,10
20kb,crbn,sig. positive,3
20kb,crcp,sig. positive,4
20kb,creb1a,sig. negative,1
20kb,creb1a,sig. positive,2
20kb,creb1b,sig. negative,2
20kb,creb1b,sig. positive,2
20kb,creb3l1,sig. positive,18
20kb,creb3l2,sig. positive,13
20kb,creb3l3a,sig. positive,1
20kb,creb3l3b,sig. positive,2
20kb,creb3l3l,sig. positive,4
20kb,creb5b,sig. positive,10
20kb,crebbpa,sig. positive,6
20kb,crebrf,sig. negative,1
20kb,crebrf,sig. positive,2
20kb,crebzf,sig. negative,1
20kb,creg2,sig. positive,3
20kb,creld2,sig. positive,6
20kb,crema,sig. positive,2
20kb,cremb,sig. negative,2
20kb,crestin,sig. positive,2
20kb,crfb1,sig. positive,2
20kb,crfb12,sig. positive,2
20kb,crfb15,sig. positive,9
20kb,crfb16,sig. negative,1
20kb,crfb4,sig. positive,3
20kb,crhb,sig. positive,1
20kb,crhbp,sig. positive,2
20kb,crhr1,sig. positive,13
20kb,crim1,sig. positive,15
20kb,crip1,sig. positive,3
20kb,crip2,sig. positive,11
20kb,crip2l,sig. negative,2
20kb,crip2l,sig. positive,2
20kb,crip3,sig. positive,3
20kb,cript,sig. positive,1
20kb,crispld1a,sig. positive,10
20kb,crispld1b,sig. positive,2
20kb,crispld2,sig. positive,4
20kb,crk,sig. positive,1
20kb,crkl,sig. negative,1
20kb,crkl,sig. positive,3
20kb,crlf1a,sig. positive,9
20kb,crlf1b,sig. positive,2
20kb,crlf3,sig. positive,8
20kb,crls1,sig. positive,5
20kb,crmp1,sig. positive,4
20kb,crnkl1,sig. positive,2
20kb,crocc2,sig. positive,4
20kb,crot,sig. positive,4
20kb,crp2,sig. positive,5
20kb,crp3,sig. positive,1
20kb,crp7,sig. positive,5
20kb,crppa,sig. negative,2
20kb,crsp7,sig. negative,1
20kb,crsp7,sig. positive,1
20kb,crtac1a,sig. negative,2
20kb,crtac1a,sig. positive,1
20kb,crtac1b,sig. positive,2
20kb,crtap,sig. positive,14
20kb,crtc1b,sig. positive,1
20kb,crtc2,sig. positive,1
20kb,crx,sig. negative,1
20kb,crx,sig. positive,1
20kb,cry1a,sig. positive,2
20kb,cry1b,sig. negative,1
20kb,cry1b,sig. positive,2
20kb,cry2,sig. positive,1
20kb,cry3a,sig. positive,1
20kb,cry3b,sig. positive,3
20kb,cryaa,sig. positive,1
20kb,cryba1a,sig. positive,1
20kb,cryba1l1,sig. negative,1
20kb,cryba1l1,sig. positive,1
20kb,cryba2b,sig. positive,2
20kb,cryba4,sig. positive,1
20kb,crybb1,sig. positive,1
20kb,crybb1l2,sig. negative,1
20kb,crybb1l3,sig. positive,2
20kb,crybb2,sig. negative,1
20kb,crybb3,sig. positive,1
20kb,crybg1a,sig. positive,8
20kb,crybg1b,sig. positive,8
20kb,crygm2d16,sig. positive,4
20kb,crygm2d2,sig. negative,2
20kb,crygm2d20,sig. negative,2
20kb,crygm2d21,sig. negative,1
20kb,crygm2d3,sig. positive,1
20kb,crygm2d4,sig. negative,1
20kb,crygm2d5,sig. positive,1
20kb,crygm3,sig. positive,2
20kb,crygm7,sig. negative,1
20kb,crygmx,sig. positive,1
20kb,crygn2,sig. positive,1
20kb,crygs2,sig. positive,1
20kb,crym,sig. positive,5
20kb,cs,sig. negative,1
20kb,csad,sig. positive,5
20kb,csdc2a,sig. negative,3
20kb,csde1,sig. positive,1
20kb,cse1l,sig. positive,4
20kb,csf1a,sig. positive,11
20kb,csf1b,sig. positive,4
20kb,csf1ra,sig. positive,4
20kb,csf1rb,sig. positive,3
20kb,csf3a,sig. positive,8
20kb,csf3b,sig. positive,1
20kb,csf3r,sig. positive,3
20kb,csgalnact1a,sig. positive,13
20kb,csk,sig. positive,3
20kb,csmd1a,sig. negative,1
20kb,csmd1a,sig. positive,2
20kb,csmd2,sig. positive,1
20kb,csmd3a,sig. positive,4
20kb,csnk1a1,sig. negative,1
20kb,csnk1a1,sig. positive,1
20kb,csnk1da,sig. negative,1
20kb,csnk1da,sig. positive,4
20kb,csnk1db,sig. positive,7
20kb,csnk1e,sig. negative,1
20kb,csnk1e,sig. positive,1
20kb,csnk1g1,sig. positive,3
20kb,csnk1g2a,sig. positive,5
20kb,csnk1g2b,sig. positive,7
20kb,csnk2a1,sig. positive,1
20kb,csnk2a2a,sig. positive,6
20kb,csnk2a2b,sig. positive,1
20kb,csnk2a4,sig. positive,3
20kb,csnk2b,sig. negative,1
20kb,cspg4,sig. positive,3
20kb,cspg5a,sig. positive,16
20kb,cspg5b,sig. positive,1
20kb,cspp1b,sig. negative,3
20kb,csrnp1a,sig. positive,18
20kb,csrnp1b,sig. positive,12
20kb,csrnp2,sig. positive,3
20kb,csrp1a,sig. positive,15
20kb,csrp2,sig. negative,2
20kb,csrp3,sig. positive,10
20kb,cst14a.1,sig. positive,4
20kb,cst14b.2,sig. negative,1
20kb,cst14b.2,sig. positive,1
20kb,cst3,sig. positive,3
20kb,cstf1,sig. positive,4
20kb,cstf2,sig. positive,2
20kb,cstf3,sig. positive,8
20kb,ctbp1,sig. negative,1
20kb,ctbp1,sig. positive,2
20kb,ctbp2a,sig. positive,7
20kb,ctbs,sig. negative,1
20kb,ctc1,sig. negative,2
20kb,ctc1,sig. positive,4
20kb,ctcf,sig. positive,5
20kb,ctdp1,sig. positive,8
20kb,ctdsp1,sig. positive,9
20kb,ctdsp2,sig. positive,3
20kb,ctdspl2a,sig. positive,6
20kb,ctdspl2b,sig. positive,5
20kb,ctdspl3,sig. negative,1
20kb,ctdspl3,sig. positive,2
20kb,ctdspla,sig. positive,9
20kb,ctdsplb,sig. positive,6
20kb,cth,sig. positive,4
20kb,cth1,sig. positive,1
20kb,cthl,sig. positive,8
20kb,cthrc1a,sig. positive,9
20kb,cthrc1b,sig. positive,2
20kb,ctif,sig. positive,3
20kb,ctnna1,sig. positive,3
20kb,ctnna2,sig. positive,14
20kb,ctnnal1,sig. positive,14
20kb,ctnnb2,sig. positive,5
20kb,ctnnbip1,sig. negative,1
20kb,ctnnbip1,sig. positive,2
20kb,ctnnd1,sig. positive,11
20kb,ctnnd2a,sig. positive,1
20kb,ctnnd2b,sig. positive,8
20kb,ctns,sig. positive,4
20kb,ctps1a,sig. positive,6
20kb,ctps1b,sig. positive,5
20kb,ctr9,sig. negative,1
20kb,ctrl,sig. negative,1
20kb,ctsa,sig. positive,5
20kb,ctsba,sig. positive,2
20kb,ctsc,sig. negative,1
20kb,ctsc,sig. positive,3
20kb,ctsd,sig. negative,1
20kb,ctsf,sig. negative,3
20kb,ctsh,sig. negative,1
20kb,ctsh,sig. positive,2
20kb,ctsk,sig. positive,4
20kb,ctslb,sig. positive,15
20kb,ctsll,sig. negative,1
20kb,ctso,sig. positive,2
20kb,ctss2.2,sig. positive,6
20kb,ctsz,sig. positive,1
20kb,cttn,sig. positive,2
