window,gene,category,count
100kb,ak4,sig. negative,1
100kb,ak4,sig. positive,2
100kb,ak5,sig. negative,1
100kb,ak5,sig. positive,3
100kb,ak5l,sig. negative,1
100kb,ak5l,sig. positive,1
100kb,ak7a,sig. positive,7
100kb,ak7b,sig. positive,2
100kb,ak8,sig. positive,2
100kb,akap10,sig. negative,2
100kb,akap10,sig. positive,3
100kb,akap12a,sig. positive,2
100kb,akap12b,sig. positive,39
100kb,akap13,sig. positive,31
100kb,akap17a,sig. positive,3
100kb,akap1a,sig. positive,2
100kb,akap1b,sig. positive,22
100kb,akap6,sig. negative,1
100kb,akap6,sig. positive,23
100kb,akap7,sig. positive,22
100kb,akap8l,sig. negative,1
100kb,akap8l,sig. positive,8
100kb,akap9,sig. negative,2
100kb,akap9,sig. positive,18
100kb,akip1,sig. negative,1
100kb,akirin1,sig. positive,1
100kb,akirin2,sig. negative,3
100kb,akirin2,sig. positive,8
100kb,akna,sig. negative,1
100kb,akna,sig. positive,12
100kb,akr1a1a,sig. negative,2
100kb,akr1a1b,sig. positive,9
100kb,akr1b1.1,sig. positive,9
100kb,akr1b1.2,sig. positive,1
100kb,akr7a3,sig. positive,4
100kb,akt1,sig. positive,27
100kb,akt1s1,sig. negative,1
100kb,akt1s1,sig. positive,3
100kb,akt2,sig. positive,2
100kb,akt2l,sig. negative,3
100kb,akt3a,sig. positive,57
100kb,akt3b,sig. negative,7
100kb,akt3b,sig. positive,2
100kb,aktip,sig. positive,27
100kb,alad,sig. negative,3
100kb,alad,sig. positive,7
100kb,alas1,sig. positive,1
100kb,alas2,sig. negative,3
100kb,alas2,sig. positive,3
100kb,alcama,sig. positive,59
100kb,alcamb,sig. positive,37
100kb,aldh18a1,sig. negative,1
100kb,aldh18a1,sig. positive,2
100kb,aldh1a2,sig. negative,4
100kb,aldh1a2,sig. positive,42
100kb,aldh1a3,sig. positive,16
100kb,aldh1l1,sig. negative,1
100kb,aldh1l1,sig. positive,7
100kb,aldh1l2,sig. negative,6
100kb,aldh1l2,sig. positive,10
100kb,aldh2.1,sig. negative,3
100kb,aldh2.1,sig. positive,6
100kb,aldh2.2,sig. negative,1
100kb,aldh2.2,sig. positive,10
100kb,aldh3a1,sig. negative,1
100kb,aldh3a1,sig. positive,3
100kb,aldh3a2a,sig. negative,3
100kb,aldh3a2a,sig. positive,10
100kb,aldh3a2b,sig. positive,24
100kb,aldh3b1,sig. positive,5
100kb,aldh4a1,sig. positive,15
100kb,aldh6a1,sig. negative,14
100kb,aldh6a1,sig. positive,3
100kb,aldh7a1,sig. positive,4
100kb,aldh8a1,sig. positive,5
100kb,aldh9a1a.1,sig. negative,6
100kb,aldh9a1a.1,sig. positive,1
100kb,aldh9a1a.2,sig. negative,4
100kb,aldh9a1a.2,sig. positive,3
100kb,aldh9a1b,sig. negative,1
100kb,aldh9a1b,sig. positive,3
100kb,aldoaa,sig. negative,1
100kb,aldoaa,sig. positive,2
100kb,aldoab,sig. negative,7
100kb,aldoab,sig. positive,4
100kb,aldob,sig. negative,1
100kb,aldob,sig. positive,7
100kb,aldocb,sig. negative,1
100kb,aldocb,sig. positive,19
100kb,alg1,sig. negative,1
100kb,alg10,sig. positive,2
100kb,alg11,sig. negative,1
100kb,alg11,sig. positive,2
100kb,alg12,sig. positive,12
100kb,alg13,sig. positive,2
100kb,alg14,sig. negative,3
100kb,alg14,sig. positive,1
100kb,alg2,sig. negative,1
100kb,alg2,sig. positive,5
100kb,alg3,sig. positive,12
100kb,alg5,sig. positive,2
100kb,alg6,sig. positive,14
100kb,alg8,sig. positive,4
100kb,alg9,sig. positive,8
100kb,alk,sig. positive,13
100kb,alkal1,sig. negative,2
100kb,alkal1,sig. positive,1
100kb,alkbh1,sig. positive,3
100kb,alkbh2,sig. negative,1
100kb,alkbh2,sig. positive,2
100kb,alkbh3,sig. positive,4
100kb,alkbh4,sig. positive,4
100kb,alkbh5,sig. positive,5
100kb,alkbh6,sig. negative,1
100kb,alkbh6,sig. positive,3
100kb,alkbh8,sig. positive,10
100kb,allc,sig. positive,1
100kb,alms1,sig. negative,2
100kb,alox12,sig. positive,9
100kb,alox5a,sig. positive,18
100kb,alox5b.2,sig. negative,1
100kb,alox5b.3,sig. positive,6
100kb,alpi.1,sig. negative,1
100kb,alpi.1,sig. positive,27
100kb,alpi.2,sig. positive,6
100kb,alpk2,sig. positive,34
100kb,alpk3a,sig. negative,2
100kb,alpk3a,sig. positive,8
100kb,alpk3b,sig. negative,1
100kb,alpk3b,sig. positive,14
100kb,alpl,sig. positive,21
100kb,als2a,sig. positive,1
100kb,als2b,sig. negative,7
100kb,als2b,sig. positive,1
100kb,alx1,sig. positive,35
100kb,alx4a,sig. positive,49
100kb,alx4b,sig. positive,14
100kb,alyref,sig. negative,3
100kb,alyref,sig. positive,1
100kb,amacr,sig. negative,13
100kb,ambn,sig. positive,1
100kb,ambp,sig. positive,3
100kb,ambra1a,sig. positive,1
100kb,ambra1b,sig. negative,2
100kb,ambra1b,sig. positive,2
100kb,amd1,sig. positive,6
100kb,amdhd2,sig. positive,2
100kb,amer1,sig. positive,6
100kb,amer2,sig. negative,6
100kb,amer2,sig. positive,5
100kb,amfra,sig. negative,1
100kb,amfra,sig. positive,5
100kb,amfrb,sig. positive,3
100kb,amh,sig. positive,2
100kb,amigo1,sig. negative,2
100kb,amigo1,sig. positive,6
100kb,amigo3,sig. negative,1
100kb,amigo3,sig. positive,16
100kb,ammecr1,sig. negative,5
100kb,ammecr1,sig. positive,2
100kb,amn1,sig. positive,5
100kb,amot,sig. negative,2
100kb,amot,sig. positive,29
100kb,amotl2a,sig. positive,31
100kb,amotl2b,sig. positive,39
100kb,ampd1,sig. negative,1
100kb,ampd1,sig. positive,14
100kb,ampd2a,sig. positive,10
100kb,ampd2b,sig. negative,1
100kb,ampd2b,sig. positive,3
100kb,ampd3a,sig. positive,1
100kb,ampd3b,sig. negative,1
100kb,ampd3b,sig. positive,22
100kb,amph,sig. negative,6
100kb,amph,sig. positive,6
100kb,amt,sig. positive,3
100kb,amy2a,sig. positive,2
100kb,anapc1,sig. positive,26
100kb,anapc10,sig. positive,9
100kb,anapc11,sig. negative,1
100kb,anapc11,sig. positive,1
100kb,anapc13,sig. negative,2
100kb,anapc15,sig. negative,1
100kb,anapc15,sig. positive,4
100kb,anapc16,sig. negative,2
100kb,anapc16,sig. positive,2
100kb,anapc2,sig. negative,5
100kb,anapc2,sig. positive,1
100kb,anapc4,sig. negative,1
100kb,anapc4,sig. positive,1
100kb,anapc5,sig. negative,2
100kb,anapc5,sig. positive,3
100kb,and1,sig. negative,2
100kb,and2,sig. negative,1
100kb,and2,sig. positive,2
100kb,and3,sig. positive,5
100kb,angel1,sig. positive,2
100kb,angel2,sig. positive,2
100kb,angpt1,sig. positive,60
100kb,angpt2a,sig. positive,12
100kb,angpt2b,sig. positive,34
100kb,angpt4,sig. positive,33
100kb,angptl1a,sig. positive,12
100kb,angptl1b,sig. positive,1
100kb,angptl2a,sig. positive,36
100kb,angptl2b,sig. positive,18
100kb,angptl3,sig. positive,11
100kb,angptl4,sig. negative,2
100kb,angptl4,sig. positive,3
100kb,angptl5,sig. positive,12
100kb,angptl6,sig. positive,14
100kb,angptl7,sig. positive,29
100kb,ank1a,sig. positive,16
100kb,ank1b,sig. negative,5
100kb,ank1b,sig. positive,6
100kb,ank2a,sig. negative,1
100kb,ank2a,sig. positive,20
100kb,ank2b,sig. negative,6
100kb,ank2b,sig. positive,32
100kb,ank3a,sig. positive,21
