window,gene,category,count,count_ols
100kb,asz1,sig. negative,2,2
100kb,asz1,sig. positive,1,1
100kb,atad1a,sig. negative,1,1
100kb,atg12,sig. negative,20,20
100kb,atg12,sig. positive,15,15
100kb,atg2b,sig. negative,14,14
100kb,atg2b,sig. positive,14,14
100kb,atg4a,sig. negative,21,21
100kb,atg4a,sig. positive,16,16
100kb,atmin,sig. negative,17,17
100kb,atmin,sig. positive,11,11
100kb,atp1a1a.4,sig. negative,4,4
100kb,atp1a1a.4,sig. positive,5,5
100kb,atp1b2b,sig. negative,2,2
100kb,atp2a1,sig. negative,10,10
100kb,atp2a1,sig. positive,9,9
100kb,atp5f1c,sig. negative,2,2
100kb,atp5f1c,sig. positive,1,1
100kb,atp6v0a1a,sig. negative,1,1
100kb,atp6v0a1a,sig. positive,1,1
100kb,atp6v0a2b,sig. negative,17,17
100kb,atp6v0a2b,sig. positive,15,15
100kb,atp6v0d1,sig. negative,2,2
100kb,atp6v0d1,sig. positive,5,5
100kb,atp6v0e1,sig. negative,1,1
100kb,atp6v1ab,sig. negative,7,7
100kb,atp6v1ab,sig. positive,8,8
100kb,atp8b2,sig. negative,6,6
100kb,atp8b2,sig. positive,6,6
100kb,atp8b3,sig. negative,15,15
100kb,atp8b3,sig. positive,10,10
100kb,atp9b,sig. negative,11,11
100kb,atp9b,sig. positive,10,10
100kb,atpaf2,sig. negative,18,18
100kb,atpaf2,sig. positive,19,19
100kb,atr,sig. negative,16,16
100kb,atr,sig. positive,20,20
100kb,atxn3,sig. negative,8,8
100kb,atxn3,sig. positive,11,11
100kb,atxn7,sig. negative,8,8
100kb,atxn7,sig. positive,9,9
100kb,auts2a,sig. negative,9,9
100kb,auts2a,sig. positive,9,9
100kb,avpr2ab,sig. negative,1,1
100kb,avpr2ab,sig. positive,3,3
100kb,axin1,sig. positive,2,2
100kb,b3gat1a,sig. negative,8,8
100kb,b3gat1a,sig. positive,10,10
100kb,b3gnt3.4,sig. negative,17,17
100kb,b3gnt3.4,sig. positive,19,19
100kb,b4galnt1a,sig. negative,9,9
100kb,b4galnt1a,sig. positive,7,7
100kb,b4galt4,sig. negative,19,19
100kb,b4galt4,sig. positive,18,18
100kb,baalca,sig. negative,4,4
100kb,baalca,sig. positive,7,7
100kb,bace1,sig. negative,2,2
100kb,bach2b,sig. negative,4,4
100kb,bach2b,sig. positive,2,2
100kb,baiap2a,sig. negative,9,9
100kb,baiap2a,sig. positive,12,12
100kb,bard1,sig. negative,15,15
100kb,bard1,sig. positive,16,16
100kb,baxa,sig. negative,5,5
100kb,baxa,sig. positive,2,2
100kb,bcap29,sig. negative,2,2
100kb,bcap29,sig. positive,1,1
100kb,bcat1,sig. negative,2,2
100kb,bcat1,sig. positive,3,3
100kb,bcdin3d,sig. negative,15,15
100kb,bcdin3d,sig. positive,11,11
100kb,bckdk,sig. negative,12,12
100kb,bckdk,sig. positive,7,7
100kb,bcl11ab,sig. negative,3,3
100kb,bcl11ab,sig. positive,2,2
100kb,bcl6ab,sig. negative,2,2
100kb,bcl6ab,sig. positive,1,1
100kb,bcl6b,sig. negative,2,2
100kb,bcl7bb,sig. negative,16,16
100kb,bcl7bb,sig. positive,17,17
100kb,becn1,sig. negative,14,14
100kb,becn1,sig. positive,14,14
100kb,bet1,sig. negative,17,17
100kb,bet1,sig. positive,18,18
100kb,bhmt,sig. negative,4,4
100kb,bhmt,sig. positive,4,4
100kb,bin2a,sig. negative,9,9
100kb,bin2a,sig. positive,5,5
100kb,birc7,sig. negative,1,1
100kb,birc7,sig. positive,1,1
100kb,blnk,sig. negative,7,7
100kb,blnk,sig. positive,7,7
100kb,bloc1s3,sig. negative,13,13
100kb,bloc1s3,sig. positive,13,13
100kb,bmp10l,sig. negative,6,6
100kb,bmp10l,sig. positive,5,5
100kb,bmp2a,sig. negative,2,2
100kb,bmp2a,sig. positive,3,3
100kb,bmp2b,sig. negative,1,1
100kb,bmp2b,sig. positive,4,4
100kb,bmp5,sig. negative,1,1
100kb,bmp8a,sig. negative,16,16
100kb,bmp8a,sig. positive,17,17
100kb,bmper,sig. negative,7,7
100kb,bmper,sig. positive,8,8
100kb,bnip2,sig. negative,15,15
100kb,bnip2,sig. positive,16,16
100kb,bnip4,sig. negative,8,8
100kb,bnip4,sig. positive,10,10
100kb,bnipl,sig. negative,2,2
100kb,bnipl,sig. positive,3,3
100kb,bod1,sig. negative,21,21
100kb,bod1,sig. positive,14,14
100kb,boka,sig. negative,3,3
100kb,boka,sig. positive,3,3
100kb,brd1a,sig. negative,8,8
100kb,brd1a,sig. positive,12,12
100kb,brd1b,sig. negative,10,10
100kb,brd1b,sig. positive,9,9
100kb,brf1a,sig. negative,13,13
100kb,brf1a,sig. positive,16,16
100kb,brinp1,sig. positive,1,1
100kb,brinp2,sig. negative,12,12
100kb,brinp2,sig. positive,7,7
100kb,brinp3a.1,sig. negative,5,5
100kb,brinp3a.1,sig. positive,6,6
100kb,brms1lb,sig. negative,6,6
100kb,brms1lb,sig. positive,1,1
100kb,btaf1,sig. negative,20,20
100kb,btaf1,sig. positive,17,17
100kb,btbd2a,sig. positive,2,2
100kb,btg4,sig. negative,3,3
100kb,btg4,sig. positive,3,3
100kb,btr22,sig. negative,11,11
100kb,btr22,sig. positive,12,12
100kb,btr23,sig. negative,7,7
100kb,btr23,sig. positive,10,10
100kb,btr25,sig. negative,19,19
100kb,btr25,sig. positive,18,18
100kb,bud23,sig. negative,10,10
100kb,bud23,sig. positive,10,10
100kb,bysl,sig. negative,15,15
100kb,bysl,sig. positive,18,18
